positionGrade,attackerLastName,victimGrade,crimeGrade,attackerJob,victimJob,crimeType,lie,brandChange,normalGeneCode,normalGeneCode,scar,tattoo,face,ask,judgement
"0,1,2,3,4","0,1,2","0,1,2,3,4","0,1,2,3,4","0,1","0,1","1,2,3",1,"0,1,2,3,4,5","0,1","0,1","0,1,2","0,1,2,3","0,1,2,3",null,2
"0,1,2","0,1,2","3,4","0,1,2,3,4","0,1","0,1","0,1,2,3","0,1","0,1,2,3,4,5","0,1","0,1","0,1,2","0,1,2,3","0,1,2,3",null,2
1,2,"0,1,2,3,4",1,"0,1","0,1","0,1,2","0,1","0,1,2,3,4,5","0,1","0,1","0,1,2","0,1,2,3","0,1,2,3",null,2
0,1,"0,1,2,3,4",1,"0,1","0,1","0,1,2","0,1","0,1,2,3,4,5","0,1","0,1","0,1,2","0,1,2,3","0,1,2,3",null,2
"0,1,2","0,1,2","0,1,2,3,4","0,1,2,3,4","0,1","0,1","0,1,2,3","0,1","0,1,2,3,4,5","0,1","0,1","0,1,2","0,1,2,3","1,2",null,3
"0,1,2,3,4","0,1,2","0,1,2,3,4","0,1,2,3,4","0,1","0,1","0,1,2,3","0,1","0,1,2,3,4,5",1,0,"0,1,2","0,1","0,3",null,1
"0,1,2,3,4","0,1,2","1,2,3","0,1,2,3,4","0,1",1,"0,1,2,3","0,1","0,1,2,3,4,5","0,1","0,1","0,1,2","0,1,2,3","0,1,2,3",null,2
"0,1,2,3,4","0,1,2","0,1,2,3,4","0,1,2,3",0,"0,1","0,1,2,3","0,1","0,1,2,3,4,5","0,1","0,1",2,"0,1,2,3","0,1,2,3",1,0
"0,1,2,3,4","0,1,2","0,1,2,3,4","0,1,2,3",0,"0,1","0,1,2,3","0,1","0,1,2,3,4,5","0,1","0,1",2,"0,1,2,3","0,1,2,3",0,1
"1,2,3,4","0,2","0,1,2,3,4","0,1,2,3,4","0,1","0,1","0,1,2,3","0,1","4,5","0,1","0,1","0,1,2","0,1,2,3",3,null,3
