positionGrade,attackerLastName,crimeGrade,crimePlace,crimeReason,geneCode,normalGeneCode,scar,tattoo,underTattoo,rTattooDate,pupil,hair,ask,judgement
"0,1","0,3,4","0,1,3","0,1",1,"0,1","0,1","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3,4",null,2
2,"0,2","0,1,2,3,4",0,3,"0,1","0,1","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3,4",null,2
3,1,"0,1,2,3,4","0,1,2,3,4,5,6",4,"0,1","0,1","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3,4",null,2
2,2,"0,1,2,3,4","0,1,2,3,4,5,6",0,"0,1","0,1","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3,4",null,2
1,3,"0,1,3","0,1,2,3,4,5,6",1,"0,1","0,1","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3,4",null,2
0,4,"0,1,2,3,4","0,1,2,3,4,5,6",4,"0,1","0,1","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3,4",null,2
2,"0,2","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4","0,1","0,1","0,1,2","0,1,2,3","0,1,2","0,1","2,3","0,1,2,3,4",null,3
2,"0,2","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4","0,1","0,1","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","2,4",null,3
1,"0,3","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4","0,1","0,1","0,1,2","0,1,2,3","0,1,2","0,1",3,"0,1,2,3,4",null,3
1,"0,3","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4","0,1","0,1","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","2,3,4",null,3
2,"0,2","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4",1,0,"0,1,2","0,1,2,3","0,1,2","0,1","2,3","0,1,2,3,4",null,1
2,"0,2","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4",1,0,"0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","2,4",null,1
1,"0,3","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4",1,0,"0,1,2","0,1,2,3","0,1,2","0,1",3,"0,1,2,3,4",null,1
1,"0,3","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4",1,0,"0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","2,3,4",null,1
"0,1,2,3,4","0,1,2,3,4","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4",1,0,"0,1,2",3,2,1,"0,1,2,3","0,1,2,3,4",1,0
"0,1,2,3,4","0,1,2,3,4","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4",1,0,"0,1,2",3,2,1,"0,1,2,3","0,1,2,3,4",0,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
