positionGrade,crimeGrade,victimGrade,crimeRecord,lie,attackerJob,brandChange,geneCode,normalGeneCode,tattoo,underTattoo,rTattooDate,ask,judgement,degradation
0,"0,1,2","0,1,2,3,4","0,1,2,3,4,5","0,1",0,0,"0,1","0,1","0,1,2,3","0,1,2","0,1,2",-1,1,null
"1,2","0,1","0,1,2,3,4","0,1,2,3,4,5","0,1",0,"0,1,2,3,4,5","0,1","0,1","0,1,2,3","0,1,2","0,1,2",-1,1,null
3,0,"3,4","0,1,2,3,4,5","0,1","0,1",0,"0,1","0,1","0,1,2,3","0,1,2","0,1,2",-1,1,null
4,0,4,"0,1,2,3,4,5","0,1","0,1",0,"0,1","0,1","0,1,2,3","0,1,2","0,1,2",-1,1,null
"1,2",2,"0,1,2,3,4","1,2,3,4,5","0,1",0,"0,1,2,3,4,5","0,1","0,1","0,1,2,3","0,1,2","0,1,2",-1,0,1
3,1,"3,4","1,2","0,1",0,0,"0,1","0,1","0,1,2,3","0,1,2","0,1,2",-1,0,1
4,0,4,"0,1,2,3,4,5",1,"0,1",0,"0,1","0,1","0,1,2,3","0,1,2","0,1,2",-1,3,null
3,2,"0,1,2,3,4","1,2,3","0,1",0,0,"0,1","0,1","0,1,2,3","0,1,2","0,1,2",-1,0,1
2,"0,1","0,1,2,3,4","1,2","0,1",0,"0,1,2,3,4,5","0,1","0,1","0,1,2,3","0,1,2","0,1,2",-1,0,1
"1,2","0,1,2,3,4","0,1,2,3,4","1,2,3,4,5","0,1",0,1,"0,1","0,1","0,1,2,3","0,1,2","0,1,2",-1,0,1
"0,1,2,3,4","0,1,2,3,4","0,1,2,3,4","0,1,2,3,4,5","0,1","0,1","0,1,2,3,4,5",1,0,"2,3",3,"1,2",1,0,0
"0,1,2,3,4","0,1,2,3,4","0,1,2,3,4","0,1,2,3,4,5","0,1","0,1","0,1,2,3,4,5",1,0,"2,3",3,"1,2",0,1,null
"0,1,2,3,4","0,1,2,3,4","0,1,2,3,4","0,1,2,3,4,5","0,1","0,1","0,1,2,3,4,5",1,0,"2,3",3,0,-1,1,null
