positionGrade,victimGrade,crimeGrade,crimePlace,crimeReason,crimeRecord,brandChage,geneCode,normalGeneCode,scar,burn,tatoo,underTattoo,RTattooDate,pupil,hair,Torture,judgeMent,degradation
"1,2","0,1,2,3,4",2,"0,1,2,3,4,5,6","0,1,2,3,4","1,2,3","0,1,2,3,4,5","0,1","0,1","0,1,2","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3,4","0,1,2",0,1
"1,2","0,1,2,3,4",2,"0,1,2,3,4,5,6","0,3,4",1,"0,1,2,3,4,5","0,1","0,1","0,1,2","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3,4","0,1,2",0,2
3,"3,4",1,"0,1,2,3,4,5,6","0,1,2,3,4","1,2,3","0,5","0,1","0,1","0,1,2","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3,4","0,1,2",0,1
3,4,1,"0,1,2,3,4,5,6","0,1,2,3,4",1,"0,5","0,1","0,1","0,1,2","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2","0,1,2,3,4","0,1,2",0,2
4,4,1,"0,1,2,3,4,5,6","0,1,2,3,4",1,0,"0,1","0,1","1,2","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3","0,1,2",0,1
"0,1,2,3",4,"0,1,2,3,4",0,"1,2,3,4","0,1,2,3,4,5","0,1,2,3,4,5","0,1","0,1","0,1,2","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3","0,1,2",2,0
"0,1","3,4","0,1,2,3,4",1,"1,2,3,4","0,1,2,3,4,5","0,1,2,3,4,5","0,1","0,1","0,1,2","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","0,1,2,3","0,1,2",2,0
0,"0,1,2,3,4","0,1,2,3,4",6,0,"0,1,2,3,4,5",0,"0,1","0,1","0,1,2","0,1,2","0,1,2,3","0,1,2","0,1","0,1",0,"0,1,2",2,0
"0,1,2,3,4","0,1,2,3,4","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4","0,1,2,3,4,5","0,1,2,3,4,5",1,0,1,2,"2,3",2,1,"0,1,2,3","0,1,2,3",2,3,0
"0,1,2,3,4","0,1,2,3,4","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4","0,1,2,3,4,5","0,1,2,3,4,5",1,0,1,2,"2,3",2,1,"0,1,2,3","0,1,2,3","0,1",1,0
3,"0,1,2,3,4","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4","0,1,2,3,4,5",5,"0,1","0,1","0,1,2","0,1,2","0,1,2,3","0,1,2","0,1","0,1","0,1,2,3","0,1,2",3,0
3,"0,1,2,3,4","0,1,2,3,4","0,1,2,3,4,5,6","0,1,2,3,4","0,1,2,3,4,5",5,"0,1","0,1","0,1,2","0,1,2","0,1,2,3","0,1,2","0,1","0,1,2,3","1,2,4","0,1,2",3,0
