id,index,teller,message,condition,
3000,0,2,"좋은 아침이야, 피터.",,
3001,0,0,…좋은 아침입니다.,,
3002,0,2,안색이 별로 좋지 않군.,,
3002,1,2,어제 하루 동안 같은 등급의 시민을,,
3002,2,2,너무 많이 죽여 죄책감이라도 느낀 건가?,,
3003,0,0,… …,,
3004,0,2,하하. 농담일세.,,
3004,1,2,오늘도 전할 변동 사항이 있네.,,
3004,2,2,일단 시스템을 복구하는 과정에서,,
3004,3,2,유실되었던 사형수와 피해자의 정보를 복구할 수 있었지.,,
3004,4,2,앞으로는 사형수와 피해자의 대략적인 정보도,,
3004,5,2,판결에 참고해야 할 거야.,,
3004,6,2,이 정보는 사건 기록서에 적혀 있는 사형수의 이름을,,
3004,7,2,클릭해 보면 자동으로 창이 떠오를 걸세.,,
3004,8,2,…그리고 이건 국가 기밀인데 말이야.,,
3004,9,2,국가에서 비밀리에 '국가 재건 프로젝트'를,, 
3004,10,2,실시하려는 모양이야.,,
3004,11,2,그래서 본래라면 사형해야 하는 것들도,,
3004,12,2,특이 직업이라면 사면해도 좋다더군.,,
3004,13,2,…물론 공짜로 사면해 주진 않고,,
3004,14,2,정부에 복종하겠다는 아주 간단한 약속만 한다면,,
3004,15,2,살려줘도 좋은 모양이야.,,
3004,16,2,그리고 그 약속을 '국가적 요구'라 칭하더군.,,
3005,0,0,… …,,
3006,0,2,"이런, 피터.",,
3006,1,2,표정이 좋지 않아.,,
3006,2,2,"...더 이야기하자면, 범죄 등급을 가중할 수도 있게 되었어.",,
3006,3,2,피해자가 특이 직업이었을 경우에,,
3006,4,2,국가 재건 프로젝트에 반발하였다고 판단하여,,
3006,5,2,범죄 등급을 1 가중하라더군?,,
3007,0,0,지금껏 범죄 등급을 가중한 적은 없지 않습니까.,,
3008,0,2,그렇지.,,
3008,1,2,요컨대 이런 느낌이야.,,
3008,2,2,시작할 땐 4급 범죄를 저지른 보통의 사형수라 할지라도,,
3008,3,2,"범죄 등급이 가중되다 보면 3급, 2급…",,
3008,4,2,혹은 1급 범죄자가 되어 사형당할 수도 있다는 거지.,,
3008,5,2,"물론, 사형 판결 기준을 대폭 낮추면서",,
3008,6,2,그쪽 시민들의 반발도 만만치 않았어.,,
3008,7,2,일단은 정부가 반발을 잠재울 목적으로 금전적 경위는,,
3008,8,2,특정 조건 하에 사면해도 좋다더군.,,
3008,9,2,겉으로는 반발하는 시민들의 말에,,
3008,10,2,귀를 기울인 것처럼 보이지만… 글쎄.,,
3008,11,2,과연 그럴까?,,
3008,12,2,"할 말은 다 했으니, 이만 가보도록 하겠네.",,
3008,13,2,자세한 건 가이드 창을 확인해 보도록 해.,,
3008,14,2,모든 것은 이상을 위하여.,,
3009,0,0,…지칠 것 같아.,,
3009,1,0,일단 가이드 창을 확인해 볼까.,activeGuide,
3009,2,0,"…어? 불법 이동자는 반란군으로 취급,",,
3009,3,0,이 경우 무조건 사형한다…,,
3009,4,0,그 옆에 있는 숫자 표시는 뭐지?,,
3010,0,2,"아, 그거 말이지. 내가 설명을 깜빡했군.",,
3010,1,2,앞으로 무조건 사형하거나 사면하라는 지령이,,
3010,2,2,내려올 일이 많을 거야.,,
3010,3,2,그때마다 지령들이 부딪힐 수 있을 테니,,
3010,4,2,우선적으로 처리할 지령을 숫자로 표시한 거지.,,
3010,5,2,"이 지문은 2번 항목이니, 1번 항목을 더 우선하면 될 걸세.",,
3010,6,2,"1번 지문은 최상급 시민이며 특이 직업일 경우,",,
3010,7,2,무조건 사면하라는 내용이니…,,
3010,8,2,최상급 시민이며 특이 직업일 경우엔,,
3010,9,2,아무리 불법 이동자여도 무조건 사면하란 거겠지.,,
3010,10,2,이해가 되나?,,
3011,0,0,그럼 숫자가 적은 것부터 우선으로 판단하면 되는 겁니까?,,
3012,0,2,"그래, 지령이 충돌할 경우엔 그런 셈이지.",,
3012,1,2,"뭐, 1번 항목부터 우선적으로 처리하면 되는 거니까.",,
3012,2,2,나름 똑똑한 자네는 잘 할 거라 믿네.,,
3012,3,2,"그럼, 이만.",,
