id,index,teller,message,condition,action
4000,0,2,마침내 네 번째 아침을 맞게 되었군.,,
4000,1,2,일이 꽤 적성에 맞는 모양이야?,,
4000,2,2,"뭐, 정부가 괜히 자네를 이곳에 꽂은 게 아닐 테니.",,
4000,3,2,오늘도 변동 사항을 일러주도록 하겠네.,,
4000,4,2,좋은 소식이 있어.,,
4000,5,2,서서히 구역 간 통행 규제가 풀리고 있어.,,
4000,6,2,"중급까지는 이동할 수 있지만, 하급, 최하급 시민은",,
4000,7,2,여전히 다른 구역으로 이동할 수 없지.,,
4000,8,2,"아직 하급, 최하급 시민은 다른 구역에 있을 시",,
4000,9,2,불법 이동자란 말이네.,,
4000,10,2,그들의 처우가 무엇일지는 굳이 말하지 않아도 알겠지?,,
4000,11,2,"그다음으로는, 음… 또 좋은 소식이군.",,
4000,12,2,유실되었던 전과 기록 정보가 복구되었다고 하네.,,
4000,13,2,앞으로는 전과 기록도 판결에 참고해야 할 거야.,,
4000,14,2,무엇보다 전과 기록을 복구하게 되면서,,
4000,15,2,그동안 대폭 낮춰두었던 사형 기준을 완화할 수 있게 되었어.,, 
4000,16,2,…대신 1급 범죄 전과를 가진 사형수는,,
4000,17,2,어떻게든 죽이거나 가중하도록 노력하라는 정부의 지령이야.,,
4000,18,2,전쟁이 일어나기 전에도 최소한 교도소에서,,
4000,19,2,썩어 있어야 할 것들이 이리 나와서 활개치는 게,,
4000,20,2,정부의 입장에 그리 좋아 보일 리 없겠지.,,
4000,21,2,그리고 국가 프로젝트는 여전히 진행되고 있네.,,
4000,22,2,"그중에서 특이 직업이 변동되었다고 하니,",,
4000,23,2,아무래도 가이드 창을 확인해 보는 게 좋겠군.,,
4001,0,0,…알겠습니다.,,
4002,0,2,유달리 말수가 적은 느낌인데.,,
4002,1,2,"…뭐, 그것까지 내가 관여할 필요는 없나.",,
4002,2,2,"아, 그리고 범죄 등급 가중은",,
4002,3,2,"각 항목과 일치하는 한, 두 번이고 세 번이고",,
4002,4,2,적용할 수 있으니 참고하는 게 좋을 거야.,,
4002,5,2,어쨌든 오늘도 무사히 버틸 수 있기를 바라겠네.,,
4002,6,2,모든 것은 이상을 위하여.,,
4003,0,0,모든 것은 이상을 위하여.,,
4003,1,0,…후우.,,
