id,index,teller,message,condition,action
5000,0,2,다섯 번째가 되니 반가운데.,,
5001,0,0,그런가요.,,
5002,0,2,무슨 문제라도 있나?,,
5002,1,2,표정이 좋지 않은데.,,
5003,0,0,매일 사람을 목매달아 죽이다 보니,,
5003,1,0,가끔은 제정신이 아닌 것 같더군요.,,
5004,0,2,하하. 그것도 적응하기 마련이지.,,
5004,1,2,그러다 보면 언젠간 무덤덤해질 걸세.,,
5004,2,2,어차피 자네 손이 아니라도 죽을 것들이야.,,
5004,3,2,살아남고자 하는 일에 괜한 감정을 가질 필요가 있나?,,
5005,0,0,…그렇군요.,,
5006,0,2,그런 얼굴로 바라보면 곤란해.,,
5006,1,2,최상급 시민은 감정이 결여되어 있는 경우가 많거든.,,
5006,2,2,"예를 들면, 나처럼 말이지.",,
5006,3,2,솔직히 내 시각으로 자네의 상태는,,
5006,4,2,뇌파가 자극하는 부정적 허상에 사로잡혀 있는 것뿐이네.,, 
5006,5,2,"매우 불필요하고, 비효율적이지.",,
5007,0,0,… …,,
5008,0,2,그럼 자네에게 매우 도움이 되는 이야기로 넘어가도록 할까.,,
5008,1,2,"어디 보자… 오, 이번에도 좋은 소식이군.",,
5008,2,2,드디어 모든 구역 간 이동이 가능해졌다고 하네.,,
5008,3,2,자연히 불법 이동자도 사라지게 된 셈이지.,,
5008,4,2,"뭐, 이대로만 간다면 자네가 내 거주 구역에",,
5008,5,2,놀러 올 수도 있겠군.,,
5009,0,0,…아무리 그래도 제가 A등급 구역에 갈 일이 있겠습니까.,,
5010,0,2,"뭐, 어디까지나 이론상 가능해졌단 거지.",,
5010,1,2,실제로 자넬 내 공간에 초대할 생각은 없었지만 말이야.,,
5011,0,0,… …,,
5012,0,2,그리고 피해자가 특이 직업일 때,,
5012,1,2,범죄 등급을 가중하던 것 말이야.,,
5012,2,2,예상대로 시민들의 반발이 심했다더군.,,
5012,3,2,그렇다고 국가 재건 프로젝트를 시민에게 알릴 수도 없으니,,
5012,4,2,일단은 제거하기로 한 모양이야.,,
5012,5,2,그 대신 피해자의 등급이 더 높을 때 가중하게 되었더군.,,
5012,6,2,아무래도 이번 전쟁 이후로,,
5012,7,2,고등급 시민을 겨냥한 범죄가 잦아지는 것 같아서 말이야.,,
5012,8,2,나도 가끔은 무섭단 말이지.,,
5012,9,2,하하. 자네는 표정이 지나치게 솔직해.,,
5013,0,0,죄송합니다.,,
5014,0,2,농담이네.,,
5014,1,2,"…흠, 마지막으로 특정 직업이 변동되었다고 하더군.",,
5014,2,2,"다른 건 차치하고, 중요한 건 상담가가 추가됐단 거야.",,
5014,3,2,자네같이 부정적 허상에 사로잡히는,,
5014,4,2,불쌍한 시민을 도우려는 목적이라고는 하지만… 하하.,,
5014,5,2,어디까지나 상담가를 포섭하여 세뇌할 목적이라더군.,,
5014,6,2,국가에 대해 복종하도록 말이야.,,
5015,0,0,…그런 위험한 내용까지 지령에 포함되어 있었습니까?,,
5016,0,2,음? 물론 아니지.,,
5016,1,2,이건 내가 최상급 시민이기에 알 수 있던 기밀 정보라네.,,
5017,0,0,그런 기밀 정보를 제가 알아도 되는 겁니까.,,
5018,0,2,글쎄…,,
5018,1,2,이 정보로 자네가 좀 더 업무를 효율적으로 할 수 있기를,,
5018,2,2,바랄 뿐이지.,,
5018,3,2,모처럼 온 동료를 일찍 쫓아내고 싶진 않아서 말이야.,,
5019,0,0,… …,,
5020,0,2,그럼 오늘도 살아남을 수 있길 바라겠네.,,
5020,1,2,모든 것은 이상을 위하여.,,
